Movie Name,Genre,Duration,Rating,Vote Counts
Test Screening,sci-fi,1h 32m,6.9,64
Teri Baaton Mein Aisa Uljha Jiya,sci-fi,2h 21m,6.2,54K
Baby Invasion,sci-fi,1h 20m,5.8,63
Peripheral,sci-fi,1h 28m,9.4,22
Maid Droid Origins,sci-fi,1h 36m,3.0,312
Another End,sci-fi,2h 9m,6.5,704
Uranus 2324,sci-fi,2h 10m,6.5,N/A
Previously Saved Version,sci-fi,1h 57m,5.5,401
40 Acres,sci-fi,1h 53m,6.5,101
Light,sci-fi,1h 33m,2.7,N/A
Daniela Forever,sci-fi,1h 53m,6.3,199
Futra Days,sci-fi,1h 39m,4.1,138
All the Lost Ones,sci-fi,1h 45m,3.8,226
War of the Worlds: Extinction,sci-fi,1h 24m,3.0,177
Tim Travers & the Time Travelers Paradox,sci-fi,1h 35m,6.9,273
"Canadian, Sniper",sci-fi,1h 23m,3.5,346
Justicia artificial,sci-fi,1h 38m,5.6,406
The Last Ronin,sci-fi,2h 1m,4.9,226
U Are the Universe,sci-fi,1h 30m,7.8,232
Black,sci-fi,1h 55m,7.1,N/A
Black Eyed Susan,sci-fi,1h 25m,5.0,308
Bade Miyan Chote Miyan,sci-fi,2h 43m,N/A,N/A
Bionic,sci-fi,1h 50m,4.3,N/A
Going Viral,sci-fi,1h 30m,6.8,50
Desert Road,sci-fi,1h 30m,6.7,154
Lesbian Space Princess,sci-fi,1h 27m,8.1,96
Balestra,sci-fi,2h 25m,5.1,511
UI,sci-fi,2h 15m,6.9,N/A
Escape from the 21st Century,sci-fi,1h 38m,6.5,813
The Invisibles,sci-fi,1h 51m,5.9,453
Ghost Planet,sci-fi,1h 25m,4.8,254
Cora,sci-fi,1h 40m,4.7,789
Planet B,sci-fi,1h 58m,5.4,139
Psychonaut,sci-fi,1h 27m,7.6,12
Babezilla vs the Cyber Skanks: Rise of MechaBabezilla,sci-fi,N/A,6.5,42
Alienoid: The Return to the Future,sci-fi,2h 2m,6.5,N/A
The Bunker,sci-fi,1h 32m,7.1,43
Else,sci-fi,1h 40m,6.1,223
Tacoma,sci-fi,1h 43m,3.5,166
No Time to Spy: A Loud House Movie,sci-fi,1h 21m,6.4,435
Somnium,sci-fi,1h 32m,8.6,38
Sci-Fi Vixens from Beyond,sci-fi,1h 14m,4.1,43
Bureau 749,sci-fi,2h 3m,4.1,503
Ayalaan,sci-fi,2h 35m,N/A,N/A
Remnant,sci-fi,1h 52m,N/A,N/A
Unexposed,sci-fi,1h 3m,7.6,61
Mummy Shark,sci-fi,1h 6m,2.0,168
How to Solve Your Own Murder,sci-fi,1h 39m,7.6,41
S.T.A.L.K.E..: Shadow of the Zone,sci-fi,1h 12m,N/A,N/A
To the Journey: Looking Back at Star Trek: Voyager,sci-fi,N/A,8.4,9
Mobile Suit Gundam SEED Freedom,sci-fi,2h 4m,6.6,924
Gaami,sci-fi,2h 27m,N/A,N/A
The Phantom Warrior,sci-fi,1h 59m,2.4,552
Space Sharks,sci-fi,1h 10m,1.5,312
The Alien Report,sci-fi,1h 21m,4.6,151
"Aire, Just Breathe",sci-fi,1h 38m,4.7,185
Space Command Redemption,sci-fi,2h 2m,4.5,151
Clone Cops,sci-fi,1h 36m,8.1,185
Blink,sci-fi,2h 16m,7.0,N/A
www.RachelOrmont.com,sci-fi,1h 20m,3.4,31
Good Neighbours,sci-fi,1h 24m,3.1,160
Buddy,sci-fi,2h 17m,3.8,340
Ape X Mecha Ape: New World Order,sci-fi,1h 27m,N/A,N/A
Saturn,sci-fi,1h 40m,7.4,28
Bury Your Dead,sci-fi,2h 8m,5.4,75
Offworld: Alien Planet,sci-fi,1h 32m,3.6,112
You Are Not Alone,sci-fi,1h 45m,6.2,61
Invasión,sci-fi,1h 31m,3.7,46
Metro9,sci-fi,N/A,N/A,N/A
Schirkoa: In Lies We Trust,sci-fi,1h 43m,5.6,153
In Vitro,sci-fi,1h 29m,6.4,114
Jon Vardar protiv Galaksijata,sci-fi,1h 26m,8.9,60
Big City Greens the Movie: Spacecation,sci-fi,N/A,6.2,530
Neon Fear,sci-fi,40m,6.1,388
Raduaa Returns,sci-fi,2h 17m,5.4,66
Addy Daddy,sci-fi,1h 58m,7.8,26
THEDÆMON,sci-fi,1h 27m,6.9,37
Earthquake Underground,sci-fi,1h 23m,3.3,189
Staycation,sci-fi,1h 34m,7.1,102
Lunacy,sci-fi,1h 17m,5.0,60
Re:Human,sci-fi,1h 48m,5.8,40
Dead Dead Demon's Dededede Destruction,sci-fi,2h,7.0,137
Descendent,sci-fi,N/A,N/A,N/A
Taklee Genesis x Worlds Collide,sci-fi,2h 26m,5.5,382
Don't F**k with Ghosts,sci-fi,N/A,7.4,198
Andromeda: 1883,sci-fi,N/A,3.5,15
Buying Time,sci-fi,1h 24m,7.0,259
Jurassic Triangle,sci-fi,1h 24m,2.5,277
Isla Monstro,sci-fi,N/A,N/A,N/A
Touchdown,sci-fi,1h 18m,6.8,13
The Strange Dark,sci-fi,1h 24m,9.1,36
Captain Avispa,sci-fi,1h 36m,N/A,N/A
Night of the Skinwalkers,sci-fi,1h 34m,2.5,707
Agapouse ta louloudia perissotero,sci-fi,1h 26m,5.3,177
Aftermath,sci-fi,1h 18m,5.4,N/A
False Front,sci-fi,2h,N/A,N/A
Alien Country,sci-fi,1h 36m,4.4,349
Oculus,sci-fi,1h 53m,6.0,15
Taisu Xilie,sci-fi,1h 40m,N/A,N/A
Dragon Ball Z Kai,sci-fi,1h 22m,8.4,65
C'est le monde à l'envers !,sci-fi,1h 54m,5.3,86
Creep Encounters,sci-fi,1h 30m,6.2,61
Killer Witches from Outer Space,sci-fi,N/A,7.1,77
The A-Frame,sci-fi,1h 22m,7.2,36
Guy Manley: Super Spy,sci-fi,1h 32m,4.5,115
Infinite Summer,sci-fi,1h 26m,5.4,83
Project Dorothy,sci-fi,1h 20m,4.0,N/A
Rahasyam Idham Jagath,sci-fi,2h 33m,7.5,49
Permafrost,sci-fi,1h 20m,5.7,112
From Within,sci-fi,N/A,N/A,N/A
Dark Fusion,sci-fi,1h 30m,8.5,233
Mutant,sci-fi,1h 30m,4.5,58
Anunnakiler,sci-fi,1h 16m,2.6,430
The Dugout,sci-fi,1h 54m,5.5,747
Future Date,sci-fi,1h 22m,6.6,120
Dark My Light,sci-fi,N/A,N/A,N/A
Sign Here,sci-fi,1h 40m,6.2,243
Abaddon's Pit,sci-fi,1h 33m,6.0,38
Vampire Zombies... From Space!,sci-fi,1h 38m,7.6,59
Through the Door,sci-fi,N/A,6.7,6
Venus Effect,sci-fi,N/A,6.0,18
Quadrant,sci-fi,1h 13m,4.3,138
UmroAyyar - A New Beginning,sci-fi,2h 15m,6.9,669
Operation War Thunder,sci-fi,1h 14m,5.3,116
The Epidemic,sci-fi,1h 35m,5.8,69
Alien Hunt,sci-fi,1h 20m,3.1,133
Isleen Pines,sci-fi,1h 24m,5.2,539
Star Abyss,sci-fi,1h 26m,3.8,241
SCP: The Infinite Mission,sci-fi,N/A,6.3,14
Revival,sci-fi,N/A,7.1,8
Spark,sci-fi,1h 50m,5.3,50
Wonderful Precure! The Movie! Doki Doki Game no Sekai de Daiboken,sci-fi,1h 11m,7.0,26
Electric Child,sci-fi,1h 58m,6.3,64
Gaganachari,sci-fi,1h 55m,6.9,N/A
It All Comes with the Cold Water,sci-fi,1h 28m,8.3,148
Traces of Love,sci-fi,1h 45m,6.5,901
"Die, Daisy, Die!",sci-fi,1h 30m,N/A,N/A
Valensole,sci-fi,N/A,N/A,N/A
The Secret of Pin-Up Island,sci-fi,1h 47m,7.4,92
War of the Ninja Monsters: Jaron vs Goura,sci-fi,55m,N/A,N/A
The 3_2 Pulldown,sci-fi,N/A,7.7,12
Our Man in L.A.,sci-fi,1h 11m,4.8,121
Arctic Hollow,sci-fi,1h 10m,2.3,179
Fuuto PI: Portrait of Kamen Rider Skull,sci-fi,1h 22m,7.5,30
The Captives,sci-fi,1h 13m,3.5,65
Miracle Mirrors,sci-fi,1h 43m,6.5,107
Double Ismart,sci-fi,2h 36m,2.9,N/A
Aiden,sci-fi,1h 14m,2.6,116
Kaiju Glam Metal Shark Attack,sci-fi,N/A,6.2,24
Rani Rani Rani,sci-fi,1h 37m,7.5,18
Hinter dem Eisernen Horizont,sci-fi,1h 28m,7.6,12
The Predators,sci-fi,N/A,N/A,N/A
The Sanctum,sci-fi,50m,N/A,N/A
Planetquake,sci-fi,1h 25m,3.0,282
Something in the Dark,sci-fi,1h 27m,7.2,22
Honshin,sci-fi,2h 2m,6.5,25
Transformers Prime: Galavatron's Revenge,sci-fi,1h 44m,N/A,N/A
Touch,sci-fi,1h 3m,8.0,10
Hidden Memories,sci-fi,1h 24m,5.9,31
Astral Plane Drifter,sci-fi,N/A,8.0,12
A Coffin of Stars,sci-fi,1h 40m,N/A,N/A
Tees,sci-fi,2h 22m,7.4,8
Heavens: The Boy and His Robot,sci-fi,1h 38m,6.3,21
The Human Hibernation,sci-fi,1h 30m,6.4,61
The Worlds Divide,sci-fi,2h,8.0,36
Replika,sci-fi,2h 5m,5.2,41
Daha Iyi Bir Yarin,sci-fi,1h 48m,6.5,59
Skinjacker,sci-fi,N/A,6.6,13
Mame snova 17,sci-fi,1h 48m,5.5,171
O Melhor dos Mundos,sci-fi,1h 10m,6.3,42
Room 0,sci-fi,1h 42m,3.1,208
The Lonely Musketeer,sci-fi,N/A,7.4,10
Transient,sci-fi,1h 36m,6.3,274
The Immortal Wars: Dekay's Paradox,sci-fi,N/A,N/A,N/A
Prishelets,sci-fi,1h 13m,5.5,146
Je Suis Auto,sci-fi,N/A,N/A,N/A
Adresi Olmayan Ev,sci-fi,1h 36m,5.6,29
Weapon,sci-fi,2h,5.5,N/A
Boreal,sci-fi,1h 22m,8.5,6
Panic,sci-fi,N/A,2.2,21
Gravediggers,sci-fi,1h 31m,6.6,26
The Deadly Swarm,sci-fi,1h 21m,2.4,184
Franta mimozemstan,sci-fi,1h 38m,4.7,71
Vampire's House of Cain,sci-fi,N/A,4.0,17
Zenith,sci-fi,1h 14m,6.0,29
Psychopomp,sci-fi,1h 36m,N/A,N/A
