Movie Name,Genre,Duration,Rating,Vote Counts
City Hunter,Action,1h 42m,6.3,N/A
Uprising,Action,2h 6m,6.6,N/A
River of Blood,Action,1h 26m,5.4,N/A
My Spy: The Eternal City,Action,1h 52m,5.7,11K
Duchess,Action,1h 54m,4.6,N/A
Harbin,Action,1h 48m,6.5,487
Max,Action,2h 12m,7.1,N/A
Badland Hunters,Action,1h 47m,5.9,12K
The Courier,Action,1h 41m,6.0,N/A
Justice League: Crisis on Infinite Earths - Part Three,Action,1h 34m,6.1,N/A
The Tiger's Apprentice,Action,1h 24m,5.7,N/A
Sikandar Ka Muqaddar,Action,2h 22m,6.0,24K
Drive Back,Action,1h 34m,N/A,N/A
The Lost Tiger,Action,1h 30m,7.8,34
The Price of Money: A Largo Winch Adventure,Action,1h 40m,5.1,N/A
The Fix,Action,1h 38m,4.6,N/A
Joe Baby,Action,1h 26m,8.2,26
The Roundup: Punishment,Action,1h 49m,6.6,N/A
One More Shot,Action,1h 43m,5.4,N/A
Arena Wars,Action,1h 36m,4.9,2K
Mafia Wars,Action,1h 34m,3.4,212
Raayan,Action,2h 25m,6.5,11K
Elyas,Action,1h 45m,6.1,N/A
Fighter,Action,2h 46m,N/A,N/A
Striking Rescue,Action,1h 46m,N/A,N/A
Lights Out,Action,1h 30m,4.9,N/A
Article 370,Action,2h 38m,7.8,24K
Devara Part 1,Action,2h 56m,6.0,20K
200% Wolf,Action,1h 38m,6.0,N/A
Officer Black Belt,Action,1h 48m,6.8,N/A
Simarik,Action,1h 51m,6.4,N/A
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,Action,1h 44m,7.1,N/A
Air Force One Down,Action,1h 24m,4.4,N/A
The Wages of Fear,Action,1h 44m,4.6,4K
The Prosecutor,Action,1h 57m,6.8,N/A
Kill Em All 2,Action,1h 28m,4.1,N/A
The Quiet Ones,Action,1h 50m,6.5,525
Khadaan,Action,2h 17m,7.4,2K
Darkness of Man,Action,1h 49m,4.8,N/A
Operation Blood Hunt,Action,1h 33m,3.4,456
Rats!,Action,1h 25m,8.0,77
Ultraman: Rising,Action,1h 57m,6.9,N/A
Jigra,Action,2h 33m,6.0,23K
One Fast Move,Action,1h 48m,5.0,N/A
Angels Fallen: Warriors of Peace,Action,1h 43m,4.9,N/A
The Last Kumite,Action,1h 45m,4.6,N/A
Murder Company,Action,1h 26m,3.7,N/A
Panda Plan,Action,1h 39m,5.1,N/A
Karma,Action,2h 47m,8.1,N/A
Bougainvillea,Action,2h 18m,6.4,3K
Golden Kamuy,Action,2h 7m,6.3,N/A
Cloud,Action,2h 3m,6.3,899
Pani,Action,2h 23m,6.9,N/A
Utopia,Action,1h 31m,3.6,340
Latency,Action,1h 34m,4.2,N/A
Murder at Hollow Creek,Action,N/A,4.2,78
The Thundermans Return,Action,1h 10m,5.0,N/A
Death Whisperer 2,Action,1h 50m,6.4,N/A
Dan Da Dan: First Encounter,Action,1h 23m,8.2,N/A
Everybody Loves Jenifa,Action,2h 15m,8.4,78
Justice League: Crisis on Infinite Earths - Part Two,Action,1h 34m,5.5,N/A
Sucha Soorma,Action,2h 16m,6.5,908
Freedom,Action,1h 50m,5.9,N/A
WWII: Operation Phoenix,Action,1h 46m,6.6,63
Anaconda,Action,1h 24m,4.9,603
The Family Star,Action,2h 39m,5.4,N/A
My Fathers' Daughter,Action,1h 18m,6.6,71
Die Hart 2: Die Harter,Action,1h 32m,4.3,N/A
Life After Fighting,Action,2h 6m,6.4,N/A
Hanu Man,Action,2h 38m,7.7,29K
Ferry 2,Action,1h 34m,5.6,N/A
Wynonna Earp: Vengeance,Action,1h 36m,5.6,N/A
Fight Another Day,Action,1h 37m,5.1,326
Wanted Man,Action,1h 25m,N/A,N/A
Hijack 1971,Action,1h 40m,6.8,N/A
Terminator: Skynet Rising,Action,1h 28m,6.8,258
The Greatest of All Time,Action,3h 3m,5.7,22K
Alien: Rubicon,Action,1h 26m,2.4,329
Zero,Action,1h 28m,6.1,38
Saripodhaa Sanivaaram,Action,2h 46m,7.0,N/A
The Clean Up Crew,Action,1h 35m,4.1,N/A
Sixty Minutes,Action,1h 28m,5.7,N/A
Escape,Action,1h 34m,6.4,N/A
Razakar: The Silent Genocide of Hyderabad,Action,2h 46m,7.4,N/A
Outlaw,Action,1h 22m,5.2,902
Viduthalai Part 2,Action,2h 50m,8.0,16K
Revolver,Action,1h 54m,5.4,819
Snow White and the Seven Samurai,Action,1h 28m,3.2,265
The Ballad of Davy Crockett,Action,1h 36m,4.6,246
The Hangman,Action,1h 32m,3.3,987
Savi,Action,2h 6m,6.2,35K
Agni,Action,2h 2m,7.3,15K
Spiders on a Plane,Action,1h 18m,5.7,360
"Love, Courage and the Battle of Bushy Run",Action,1h 53m,5.0,173
A Legend,Action,2h 9m,4.7,857
Kanguva,Action,2h 32m,4.5,14K
Baby Invasion,Action,1h 20m,5.8,63
Handsome Guys,Action,1h 41m,6.5,752
72 Hours,Action,1h 27m,4.1,280
Cells at Work!,Action,1h 49m,6.8,168
The Slave and the Sorcerer,Action,1h 26m,6.7,37
Heart of the Hunter,Action,1h 45m,4.7,N/A
Bagheera,Action,2h 38m,6.7,N/A
Chandu Champion,Action,2h 22m,7.8,34K
The Last Front,Action,1h 38m,5.5,599
London Calling,Action,1h 49m,7.5,17
The Lockdown,Action,1h 57m,4.3,595
Vettaiyan,Action,2h 43m,7.0,39K
Cassino in Ischia,Action,1h 53m,4.4,229
